record_id,source_row,street,city,postal_code,country,latitude,longitude,shipment_number,carrier,weight_kg,status,dispatch_date,quality_note
log-000000019,19,Datenstrasse 20,Ostfeld,80461,Deutschland,54.3415374,13.0231901,SHP-500019,Musterfracht,320.89,verloren,2025/01/20,synthetic-normal
log-000000020,20,Datenstr. 21,Datenheim,88380,D,51.1216629,13.645023,SHP-500020,DemoLogistik,774.97,angekuendigt,2025-01-21,synthetic-normal
log-000000021,21,Prüfsummenstraße 22,Datenheim,16299,deu,6.1656233,51.6997848,SHP-500021,SynthExpress,100000,verloren,22/01/2025,synthetic-error
log-000000022,22,Prüfsummenstrasse 23,Westbogen,24218,D,49.7029467,12.7171533,SHP-500022,SynthExpress,191.02,angekuendigt,2025/01/23,synthetic-normal
log-000000023,23,Qualitätsring 24,Westbogen,32137,DE,53.9824538,9.1996492,SHP-500023,DemoLogistik,80.08,verloren,24/01/2025,synthetic-normal
log-000000024,24,Datenstr. 25,Nordhafen,40056,deu,49.309941,13.9853569,SHP-500024,DemoLogistik,523.22,zugestellt,25/01/2025,synthetic-normal
log-000000025,25,  Schemaweg   26,Nordhafen,47975,DE,52.1205618,13.4300024,SHP-500025,SynthExpress,162.96,angekuendigt,26/01/2025,synthetic-normal
log-000000026,26,  Spaltenweg   27,Nordhafen,55894,DE,54.4823871,12.1573805,SHP-500026,DemoLogistik,209.64,angekuendigt,27/01/2025,synthetic-normal
log-000000027,27,Schemaweg 28, Nordhafen ,63813,Deutschland,48.8965817,8.0956736,SHP-500027,SynthExpress,102.04,zugestellt,2025/01/28,synthetic-normal
log-000000028,28,Qualitätsring 29,Südwinkel,71732,D,47.4883764,12.5763931,SHP-500028,Musterfracht,740.62,verloren,29.01.2025,synthetic-normal
log-000000029,29,  Datenstraße   30,Ostfeld,79651,Deutschland,49.6194506,13.1171786,SHP-500029,DemoLogistik,86.57,unterwegs,2025-01-30,synthetic-normal
log-000000030,30,Pipelineweg 31,Datenheim,87570,D,52.4643377,13.5616827,SHP-500030,Musterfracht,222.95,angekuendigt,2025-01-31,synthetic-normal
log-000000031,31,Schemaweg 32,Ostfeld,15489,Deutschland,52.8369425,8.6858313,SHP-500031,SynthExpress,464.51,verloren,01.02.2025,synthetic-normal
log-000000032,32,Qualitätsring 33,Vektorstetten,23408,Deutschland,52.0359811,11.9031648,SHP-500032,SynthExpress,1.45,zugestellt,02/02/2025,synthetic-normal
log-000000033,33,Vektorallee 34,Ostfeld,31327,deu,51.9779134,8.5687388,SHP-500033,SynthExpress,557.8,zugestellt,03/02/2025,synthetic-normal
log-000000034,34,  Koordinatenplatz   35,Vektorstetten,39246,deu,51.1849224,13.1023657,SHP-500034,DemoLogistik,485.37,angekuendigt,04/02/2025,synthetic-normal
log-000000035,35,Qualitätsring 36,Südwinkel,47165,deu,47.4856329,8.0525514,SHP-500035,Beispielkurier,268.22,angekuendigt,2025/02/05,synthetic-normal
log-000000036,36,  Prüfsummenstraße   37, Südwinkel ,55084,DE,54.0842147,13.7160532,SHP-500036,SynthExpress,155.63,verloren,06.02.2025,synthetic-normal
log-000000037,37,Datenstrasse 38,Nordhafen,63003,D,48.3133772,10.0747178,SHP-500037,Musterfracht,414.41,verloren,2025/02/07,synthetic-normal
log-000000038,38,  Spaltenweg   39,Südwinkel,70922,Deutschland,53.120184,10.5959583,SHP-500038,DemoLogistik,717.78,zugestellt,2025/02/08,synthetic-normal
log-000000039,39,Pipelineweg 19 , DATENHEIM ,72542,DE,54.6643716,14.3225762,SHP-500018,DemoLogistik,60.4,unterwegs,2025/01/19,synthetic-normal
log-000000040,40,Vektorallee 41,Südwinkel,86760,deu,47.7881393,9.5499142,SHP-500040,Beispielkurier,64.55,verloren,2025-02-10,synthetic-normal
log-000000041,41,  Datenstraße   42,Westbogen,14679,Deutschland,53.026411,13.6517211,SHP-500041,Beispielkurier,723.88,unterwegs,2025/02/11,synthetic-normal
log-000000042,42,  Koordinatenplatz   43,Ostfeld,22598,deu,54.753487,10.7139374,SHP-500042,Beispielkurier,23.32,angekuendigt,2025-02-12,synthetic-normal
log-000000043,43,Datenstr. 44,Südwinkel,30517,D,49.7840281,12.8033133,SHP-500043,Beispielkurier,369.41,zugestellt,2025/02/13,synthetic-normal
log-000000044,44,Koordinatenplatz 45,Vektorstetten,38436,DE,-100,14.5364279,SHP-500044,DemoLogistik,-4,angekuendigt,14.02.2025,synthetic-error
log-000000045,45,Schemaweg 46, Datenheim ,46355,DE,7.3066455,53.2112183,SHP-500045,Musterfracht,,angekuendigt,2025-02-15,synthetic-error
log-000000046,46,Qualitätsring 47,Vektorstetten,54274,deu,48.0744499,12.9068241,SHP-500046,SynthExpress,300.31,angekuendigt,16/02/2025,synthetic-normal
log-000000047,47,Koordinatenplatz 48,Ostfeld,62193,DE,50.5947779,9.13213,SHP-500047,Beispielkurier,55.26,unterwegs,2025/02/17,synthetic-normal
log-000000048,48,  Spaltenweg   49,Vektorstetten,70112,Deutschland,49.7495148,8.0585556,SHP-500048,SynthExpress,520.4,zugestellt,2025/02/18,synthetic-normal
log-000000049,49,Prüfsummenstr. 50,Westbogen,78031,deu,51.0053795,9.0643897,SHP-500049,Musterfracht,488.3,zugestellt,19/02/2025,synthetic-normal
log-000000050,50,Datenstrasse 51,Vektorstetten,85950,D,51.0131916,12.7751148,SHP-500050,Beispielkurier,221.09,verloren,2025/02/20,synthetic-normal
log-000000051,51,Schemaweg 52,Datenheim,13869,Deutschland,12.662606,50.533829,SHP-500051,Musterfracht,100000,zugestellt,2025/02/21,synthetic-error
log-000000052,52,Koordinatenplatz 53,Vektorstetten,21788,deu,48.7557114,12.5951628,SHP-500052,Musterfracht,577.06,zugestellt,2025-02-22,synthetic-normal
log-000000053,53,Schemaweg 54,Südwinkel,29707,Deutschland,47.6459193,6.3016394,SHP-500053,Musterfracht,288.77,unterwegs,2025/02/23,synthetic-normal
log-000000054,54,Spaltenweg 55, Nordhafen ,12,Deutschland,54.4520833,10.1951085,SHP-500054,SynthExpress,,verloren,2025/02/24,synthetic-error
log-000000055,55,Pipelineweg 56,Ostfeld,45545,deu,53.1952709,9.2994778,SHP-500055,Beispielkurier,759.31,zugestellt,2025/02/25,synthetic-normal
log-000000056,56,Pipelineweg 57,Westbogen,53464,DE,48.4936339,7.3990846,SHP-500056,SynthExpress,487.74,unterwegs,2025-02-26,synthetic-normal
log-000000057,57,Datenstrasse 58,Westbogen,61383,D,47.8409662,7.947499,SHP-500057,Musterfracht,375.98,unterwegs,2025/02/27,synthetic-normal
log-000000058,58,Schemaweg 59,Südwinkel,69302,Deutschland,51.8223347,13.3830108,SHP-500058,Musterfracht,119.28,verloren,2025-02-28,synthetic-normal
log-000000059,59,  Schemaweg   60,Datenheim,77221,DE,54.059614,12.5577121,SHP-500059,Musterfracht,322.07,angekuendigt,2025-03-01,synthetic-normal
log-000000060,60,Datenstr. 61,Südwinkel,85140,D,51.2441252,9.8685105,SHP-500060,Musterfracht,688.43,unterwegs,2025/03/02,synthetic-normal
log-000000061,61,  Koordinatenplatz   62,Vektorstetten,13059,DE,53.8187715,8.8341937,SHP-500061,Beispielkurier,73.08,zugestellt,2025/03/03,synthetic-normal
log-000000062,62,Koordinatenplatz 63,Ostfeld,20978,DE,52.2982189,10.7918611,SHP-500062,Beispielkurier,363.92,angekuendigt,04.03.2025,synthetic-normal
log-000000063,63,Spaltenweg 64, Datenheim ,28897,deu,54.350313,9.8306681,SHP-500063,Beispielkurier,398.84,angekuendigt,2025-03-05,synthetic-normal
log-000000064,64,Vektorallee 65,Datenheim,36816,D,48.0083899,14.9287657,SHP-500064,SynthExpress,191.51,verloren,2025-03-06,synthetic-normal
log-000000065,65,Schemaweg 66,Ostfeld,44735,D,49.1523549,10.8716387,SHP-500065,Beispielkurier,746.13,unterwegs,07.03.2025,synthetic-normal
log-000000066,66,Prüfsummenstr. 67,Datenheim,52654,Deutschland,53.536176,8.4021186,SHP-500066,Musterfracht,632.03,verloren,08.03.2025,synthetic-normal
log-000000067,67,  Prüfsummenstraße   68,Südwinkel,60573,deu,51.6456621,7.9487745,SHP-500067,Beispielkurier,266.02,angekuendigt,09/03/2025,synthetic-normal
log-000000068,68,Prüfsummenstrasse 69,Nordhafen,68492,deu,51.1174127,11.2296599,SHP-500068,SynthExpress,649.15,verloren,2025-03-10,synthetic-normal
log-000000069,69,Prüfsummenstrasse 70,Westbogen,76411,Deutschland,52.0367714,9.4568466,SHP-500069,SynthExpress,577.98,zugestellt,2025/03/11,synthetic-normal
log-000000070,70,Spaltenweg 71,Südwinkel,84330,Deutschland,54.880437,12.6702506,SHP-500070,Beispielkurier,709.96,angekuendigt,2025-03-12,synthetic-normal
log-000000071,71,Datenstr. 72,Westbogen,12249,Deutschland,50.1487923,7.1392421,SHP-500071,Beispielkurier,722.75,unterwegs,13.03.2025,synthetic-normal
log-000000072,72,  Qualitätsring   73, Südwinkel ,20168,deu,50.8047393,8.1365915,SHP-500072,Musterfracht,306.1,angekuendigt,2025/03/14,synthetic-normal
log-000000073,73,Spaltenweg 74,Westbogen,28087,D,52.5463827,10.0028895,SHP-500073,Musterfracht,126.46,unterwegs,2025/03/15,synthetic-normal
log-000000074,74,Schemaweg 75,Vektorstetten,36006,D,not-a-number,11.006547,SHP-500074,SynthExpress,schwer,verloren,16/03/2025,synthetic-error
log-000000075,75,Vektorallee 76,Vektorstetten,43925,DE,49.6478899,9.8555733,SHP-500075,Musterfracht,200.58,unterwegs,2025-03-17,synthetic-normal
log-000000076,76,Qualitätsring 77,Westbogen,51844,Deutschland,53.6115919,8.1641248,SHP-500076,Beispielkurier,332.46,zugestellt,18/03/2025,synthetic-normal
log-000000077,77,  Qualitätsring   78,Datenheim,59763,Deutschland,47.9863019,9.430086,SHP-500077,Musterfracht,60.33,angekuendigt,2025/03/19,synthetic-normal
log-000000078,78,Prüfsummenstr. 79,Südwinkel,67682,D,47.4901873,13.9349606,SHP-500078,Musterfracht,209.8,unterwegs,2025-03-20,synthetic-normal
log-000000079,79,Prüfsummenstraße 80,Nordhafen,75601,Deutschland,54.869048,6.8683084,SHP-500079,DemoLogistik,560.89,unterwegs,2025/03/21,synthetic-normal
log-000000080,80,Prüfsummenstrasse 81,Vektorstetten,83520,DE,53.6360674,11.4640004,SHP-500080,Musterfracht,594.54,angekuendigt,22/03/2025,synthetic-normal
log-000000081,81,Koordinatenplatz 82, Westbogen ,11439,Deutschland,47.7601807,8.3381093,SHP-500081,SynthExpress,188.97,verloren,2025-03-23,synthetic-normal
log-000000082,82,Datenstraße 83,Südwinkel,19358,deu,53.2810336,7.6878913,SHP-500082,DemoLogistik,477.76,unterwegs,24.03.2025,synthetic-normal
log-000000083,83,Datenstr. 84,Südwinkel,27277,deu,51.4056375,13.1463272,SHP-500083,SynthExpress,720.43,angekuendigt,25.03.2025,synthetic-normal
log-000000084,84,Pipelineweg 31,Datenheim,87570,D,52.4643377,13.5616827,SHP-500030,Musterfracht,222.95,angekuendigt,2025-01-31,synthetic-normal
log-000000085,85,Vektorallee 34 ,OSTFELD,31327,deu,51.9779134,8.5687388,SHP-500033,SynthExpress,557.8,zugestellt,03/02/2025,synthetic-normal
log-000000086,86,  Spaltenweg   87,Datenheim,51034,DE,50.7352412,7.8382578,SHP-500086,SynthExpress,596.56,zugestellt,2025/03/28,synthetic-normal
log-000000087,87,Prüfsummenstraße 88,Ostfeld,58953,DE,8.7634287,54.1344274,SHP-500087,DemoLogistik,,angekuendigt,29.03.2025,synthetic-error
log-000000088,88,Prüfsummenstr. 89,Datenheim,66872,D,48.0537563,12.2563707,SHP-500088,DemoLogistik,569.75,verloren,2025/03/30,synthetic-normal
log-000000089,89,  Prüfsummenstraße   90,Westbogen,74791,D,49.6751791,8.1449861,SHP-500089,DemoLogistik,661.95,verloren,2025-03-31,synthetic-normal
log-000000090,90,Vektorallee 91,,82710,Deutschland,52.3921008,9.5794394,SHP-500090,Beispielkurier,schwer,angekuendigt,01/04/2025,synthetic-error
log-000000091,91,Spaltenweg 92,,10629,Deutschland,48.1731284,8.3628276,SHP-500091,DemoLogistik,100000,verloren,2025-04-02,synthetic-error
log-000000092,92,Vektorallee 93,Westbogen,18548,Deutschland,49.967778,7.4689311,SHP-500092,DemoLogistik,214.03,verloren,2025-04-03,synthetic-normal
log-000000093,93,  Qualitätsring   94,Westbogen,26467,deu,50.1124035,12.4386829,SHP-500093,SynthExpress,24.62,angekuendigt,04.04.2025,synthetic-normal
log-000000094,94,  Schemaweg   95,Ostfeld,34386,D,50.4477964,7.7832345,SHP-500094,SynthExpress,539.21,zugestellt,2025/04/05,synthetic-normal
log-000000095,95,Schemaweg 96,Datenheim,42305,DE,47.3584219,8.5730581,SHP-500095,DemoLogistik,474.55,unterwegs,06/04/2025,synthetic-normal
log-000000096,96,Vektorallee 97,Vektorstetten,,deu,51.1019938,13.4668587,SHP-500096,Musterfracht,,angekuendigt,2025/04/07,synthetic-error
log-000000097,97,Datenstraße 10, Datenheim ,81271,Deutschland,53.1413504,8.9296144,SHP-500009,Musterfracht,423.34,verloren,10.01.2025,synthetic-normal
log-000000098,98,Prüfsummenstr. 99,Nordhafen,66062,Deutschland,48.6062362,14.5180516,SHP-500098,Beispielkurier,567.63,zugestellt,2025-04-09,synthetic-normal
log-000000099,99,  Pipelineweg   100, Vektorstetten ,73981,Deutschland,12.9678844,48.9839476,SHP-500099,SynthExpress,,angekuendigt,10.04.2025,synthetic-error
log-000000100,100,Vektorallee 101,Westbogen,81900,deu,48.6185926,7.2064021,SHP-500100,SynthExpress,516.39,unterwegs,2025/04/11,synthetic-normal
log-000000101,101,Koordinatenplatz 102,Nordhafen,89819,D,50.6607813,8.585948,SHP-500101,Musterfracht,463.62,angekuendigt,12/04/2025,synthetic-normal
log-000000102,102,Datenstr. 103,Nordhafen,17738,DE,51.9740638,10.4650239,SHP-500102,Beispielkurier,361.59,angekuendigt,2025/04/13,synthetic-normal
log-000000103,103,Spaltenweg 104,Ostfeld,25657,DE,53.4633478,13.50387,SHP-500103,SynthExpress,150.67,unterwegs,2025-04-14,synthetic-normal
log-000000104,104,Vektorallee 105,Westbogen,33576,D,50.4066474,8.9129778,SHP-500104,SynthExpress,351.59,zugestellt,2025-04-15,synthetic-normal
log-000000105,105,Schemaweg 106,Datenheim,41495,deu,54.2672731,8.654132,SHP-500105,Beispielkurier,309.31,unterwegs,2025-04-16,synthetic-normal
log-000000106,106,Vektorallee 107,Ostfeld,49414,Deutschland,47.4385521,8.6415678,SHP-500106,DemoLogistik,633.35,zugestellt,2025/04/17,synthetic-normal
log-000000107,107,Schemaweg 108,Datenheim,57333,DE,52.3306622,13.8628135,SHP-500107,DemoLogistik,124.04,verloren,18.04.2025,synthetic-normal
log-000000108,108,  Vektorallee   109, Westbogen ,65252,deu,54.6688734,11.4174779,SHP-500108,Beispielkurier,616.9,unterwegs,19.04.2025,synthetic-normal
log-000000109,109,Qualitätsring 110,Datenheim,73171,D,50.8087678,8.3922999,SHP-500109,Beispielkurier,375.27,verloren,20.04.2025,synthetic-normal
log-000000110,110,Schemaweg 111,Westbogen,81090,DE,52.7066474,10.5463664,SHP-500110,SynthExpress,110.8,zugestellt,2025-04-21,synthetic-normal
log-000000111,111,  Vektorallee   112,Südwinkel,89009,D,54.0231863,14.3603417,SHP-500111,Beispielkurier,724.25,angekuendigt,2025/04/22,synthetic-normal
log-000000112,112,Koordinatenplatz 113,Nordhafen,16928,Deutschland,53.3144928,7.0659162,SHP-500112,Musterfracht,795.62,verloren,23.04.2025,synthetic-normal
log-000000113,113,Pipelineweg 114,Südwinkel,24847,D,48.1450201,8.4505345,SHP-500113,Musterfracht,492.32,angekuendigt,2025-04-24,synthetic-normal
log-000000114,114,Pipelineweg 115,Ostfeld,32766,DE,52.1028576,11.0904366,SHP-500114,DemoLogistik,498.29,zugestellt,2025/04/25,synthetic-normal
log-000000115,115,Schemaweg 46 , DATENHEIM ,46355,DE,7.3066455,53.2112183,SHP-500045,Musterfracht,,angekuendigt,2025-02-15,synthetic-error
log-000000116,116,Koordinatenplatz 117,Datenheim,48604,DE,50.2674484,10.1252427,SHP-500116,Beispielkurier,68.58,zugestellt,27/04/2025,synthetic-normal
log-000000117,117,Qualitätsring 118, Vektorstetten ,56523,Deutschland,48.3139129,9.0411512,SHP-500117,Musterfracht,54.14,unterwegs,2025/04/28,synthetic-normal
log-000000118,118,Vektorallee 119,Ostfeld,64442,DE,49.5301635,6.2030177,SHP-500118,DemoLogistik,145.9,angekuendigt,29/04/2025,synthetic-normal
log-000000119,119,Spaltenweg 120,Vektorstetten,72361,deu,49.4744428,13.7316745,SHP-500119,SynthExpress,791.3,zugestellt,30/04/2025,synthetic-normal
log-000000120,120,  Spaltenweg   121,Südwinkel,80280,D,52.5597205,9.1795917,SHP-500120,Musterfracht,711.6,angekuendigt,2025/05/01,synthetic-normal
log-000000121,121,  Qualitätsring   78,Datenheim,59763,Deutschland,47.9863019,9.430086,SHP-500077,Musterfracht,60.33,angekuendigt,2025/03/19,synthetic-normal
log-000000122,122,Koordinatenplatz 123,Datenheim,16118,D,48.5665003,9.8839571,SHP-500122,Beispielkurier,82.17,angekuendigt,03/05/2025,synthetic-normal
log-000000123,123,Datenstraße 124,Ostfeld,24037,Deutschland,51.1994537,12.6990615,SHP-500123,DemoLogistik,511.61,angekuendigt,04.05.2025,synthetic-normal
log-000000124,124,Vektorallee 125,Vektorstetten,31956,Deutschland,50.0523444,14.5350974,SHP-500124,SynthExpress,350.59,unterwegs,2025/05/05,synthetic-normal
log-000000125,125,Vektorallee 126,Vektorstetten,39875,Deutschland,49.1970486,6.8437272,SHP-500125,DemoLogistik,610.49,verloren,2025/05/06,synthetic-normal
log-000000126,126,Qualitätsring 127, Ostfeld ,999999,deu,48.2320444,13.6460019,SHP-500126,Beispielkurier,,unterwegs,2025/05/07,synthetic-error
log-000000127,127,Schemaweg 128,Vektorstetten,55713,deu,53.3320925,10.4805529,SHP-500127,SynthExpress,440.04,unterwegs,08.05.2025,synthetic-normal
log-000000128,128,  Koordinatenplatz   129,Datenheim,63632,deu,51.9508076,6.5931824,SHP-500128,Musterfracht,288.78,verloren,2025/05/09,synthetic-normal
log-000000129,129,Pipelineweg 130,Vektorstetten,71551,DE,50.7198062,12.0570027,SHP-500129,Musterfracht,658.69,unterwegs,10.05.2025,synthetic-normal
log-000000130,130,Datenstraße 131,Westbogen,79470,deu,48.5309489,14.3995881,SHP-500130,DemoLogistik,402.34,zugestellt,11/05/2025,synthetic-normal
log-000000131,131,Schemaweg 132,Datenheim,87389,DE,51.1195559,7.3514503,SHP-500131,DemoLogistik,508.08,unterwegs,12/05/2025,synthetic-normal
log-000000132,132,Datenstraße 133,Vektorstetten,15308,Deutschland,52.2485878,12.8560228,SHP-500132,Beispielkurier,660.21,angekuendigt,2025/05/13,synthetic-normal
log-000000133,133,  Schemaweg   134,Vektorstetten,23227,D,49.5604974,6.4713518,SHP-500133,SynthExpress,513.56,unterwegs,2025/05/14,synthetic-normal
log-000000134,134,Vektorallee 135,Westbogen,31146,Deutschland,54.7128434,7.0030486,SHP-500134,Musterfracht,272.22,angekuendigt,15/05/2025,synthetic-normal
log-000000135,135,Vektorallee 136, Ostfeld ,39065,D,49.1868541,13.760829,SHP-500135,DemoLogistik,359.73,zugestellt,16/05/2025,synthetic-normal
log-000000136,136,  Spaltenweg   137,Ostfeld,46984,DE,47.9843731,9.4178281,SHP-500136,Beispielkurier,796.78,unterwegs,17.05.2025,synthetic-normal
log-000000137,137,Schemaweg 138,Ostfeld,54903,deu,54.0066636,200.0,SHP-500137,Beispielkurier,,zugestellt,2025-05-18,synthetic-error
log-000000138,138,  Pipelineweg   139,Datenheim,62822,Deutschland,53.572366,11.5338225,SHP-500138,SynthExpress,442.62,unterwegs,2025-05-19,synthetic-normal
log-000000139,139,Koordinatenplatz 140,Datenheim,70741,D,51.1005921,6.2167908,SHP-500139,DemoLogistik,271.33,zugestellt,2025/05/20,synthetic-normal
log-000000140,140,Vektorallee 141,Westbogen,78660,deu,50.2864549,11.4718045,SHP-500140,Musterfracht,714.52,zugestellt,2025/05/21,synthetic-normal
log-000000141,141,Koordinatenplatz 142,Ostfeld,86579,Deutschland,53.3553366,12.4729828,SHP-500141,SynthExpress,652.62,verloren,22/05/2025,synthetic-normal
log-000000142,142,Qualitätsring 143,Südwinkel,14498,D,48.4230954,12.0626874,SHP-500142,SynthExpress,620.95,angekuendigt,23.05.2025,synthetic-normal
log-000000143,143,Prüfsummenstrasse 81 ,VEKTORSTETTEN,83520,DE,53.6360674,11.4640004,SHP-500080,Musterfracht,594.54,angekuendigt,22/03/2025,synthetic-normal
log-000000144,144,Spaltenweg 145, Datenheim ,30336,deu,51.5627395,14.9827304,SHP-500144,Beispielkurier,401.51,verloren,25/05/2025,synthetic-normal
log-000000145,145,Koordinatenplatz 146,Südwinkel,38255,deu,49.4204486,8.5461923,SHP-500145,Musterfracht,426.55,zugestellt,26.05.2025,synthetic-normal
log-000000146,146,Schemaweg 147,Vektorstetten,46174,D,54.1077795,9.4296986,SHP-500146,Musterfracht,383.89,unterwegs,27/05/2025,synthetic-normal
log-000000147,147,Datenstr. 21 ,DATENHEIM,88380,D,51.1216629,13.645023,SHP-500020,DemoLogistik,774.97,angekuendigt,2025-01-21,synthetic-normal
log-000000148,148,Qualitätsring 149,Vektorstetten,62012,Deutschland,48.3432745,11.4642287,SHP-500148,DemoLogistik,383.32,unterwegs,2025-05-29,synthetic-normal
log-000000149,149,Datenstraße 150,Vektorstetten,69931,D,48.0641413,12.8910477,SHP-500149,SynthExpress,510.39,unterwegs,2025/05/30,synthetic-normal
log-000000150,150,Qualitätsring 151,Vektorstetten,77850,DE,54.2003209,6.6230386,SHP-500150,DemoLogistik,380.61,angekuendigt,31.05.2025,synthetic-normal
log-000000151,151,  Datenstraße   152,Südwinkel,85769,Deutschland,53.9632481,5.885258,SHP-500151,SynthExpress,747.14,zugestellt,01/06/2025,synthetic-normal
log-000000152,152,  Vektorallee   153,Nordhafen,13688,Deutschland,48.5349564,10.0220131,SHP-500152,Musterfracht,419.5,unterwegs,2025-06-02,synthetic-normal
log-000000153,153,Qualitätsring 154, Vektorstetten ,21607,D,53.5851227,10.5405821,SHP-500153,SynthExpress,454.27,verloren,2025-06-03,synthetic-normal
log-000000154,154,Qualitätsring 155,Südwinkel,29526,D,53.0285506,14.5771204,SHP-500154,Musterfracht,258.95,angekuendigt,04/06/2025,synthetic-normal
log-000000155,155,  Pipelineweg   156,Ostfeld,37445,Deutschland,52.5462069,11.6761442,SHP-500155,Musterfracht,49.79,zugestellt,05.06.2025,synthetic-normal
log-000000156,156,  Koordinatenplatz   157,Ostfeld,45364,deu,53.0901331,12.0591457,SHP-500156,SynthExpress,122.63,verloren,06/06/2025,synthetic-normal
log-000000157,157,Spaltenweg 145 , DATENHEIM ,30336,deu,51.5627395,14.9827304,SHP-500144,Beispielkurier,401.51,verloren,25/05/2025,synthetic-normal
log-000000158,158,Vektorallee 159,Datenheim,61202,D,48.1834242,7.6896937,SHP-500158,Beispielkurier,161.81,angekuendigt,2025/06/08,synthetic-normal
log-000000159,159,Spaltenweg 160,Vektorstetten,69121,Deutschland,52.7969286,9.4427281,SHP-500159,SynthExpress,410.65,unterwegs,2025-06-09,synthetic-normal
log-000000160,160,Prüfsummenstr. 89,Datenheim,66872,D,48.0537563,12.2563707,SHP-500088,DemoLogistik,569.75,verloren,2025/03/30,synthetic-normal
log-000000161,161,Datenstr. 162,Südwinkel,ABCDE,D,50.145903,14.0002692,SHP-500161,Beispielkurier,,verloren,2025/06/11,synthetic-error
log-000000162,162,Prüfsummenstrasse 163, Südwinkel ,12878,DE,53.0469636,14.8021143,SHP-500162,Beispielkurier,142.86,verloren,2025/06/12,synthetic-normal
log-000000163,163,Schemaweg 164,Vektorstetten,20797,DE,47.5448516,11.8738187,SHP-500163,SynthExpress,276.99,unterwegs,13.06.2025,synthetic-normal
log-000000164,164,  Vektorallee   153 ,NORDHAFEN,13688,Deutschland,48.5349564,10.0220131,SHP-500152,Musterfracht,419.5,unterwegs,2025-06-02,synthetic-normal
log-000000165,165,  Datenstraße   166,Datenheim,36635,deu,53.0333314,12.9397853,SHP-500165,DemoLogistik,39.04,zugestellt,15.06.2025,synthetic-normal
log-000000166,166,Koordinatenplatz 167,Südwinkel,44554,deu,50.4430576,8.3314161,SHP-500166,DemoLogistik,255.19,verloren,2025/06/16,synthetic-normal
